순번,분전함,세부주소,등주수량,등수,데이터기준일자,weight
"1",고등공원로1,경기도 성남시 수정구 고등동 589-2 / 이마트24부근사거리,"29","53",2025-08-05,0.40
"2",고등로1,경기도 성남시 수정구 고등동 588 / 고등제일교회,"25","42",2025-08-05,0.40
"3",고등로2,경기도 성남시 수정구 고등동 578 / 고등제일교회,"14","14",2025-08-05,0.40
"4",고등로3,경기도 성남시 수정구 고등동 576 / 자이301동 터널지나,"29","46",2025-08-05,0.40
"5",고등로3길1,경기도 성남시 수정구 고등동 575-6 / 자이308동부근,"20","20",2025-08-05,0.40
"6",공원로1,경기도 성남시 수정구 신흥2동 2464-1 / 청구아파트앞,"34","34",2025-08-05,0.40
"7",공원로2,경기도 성남시 수정구 신흥3동 2827 / 노상주차장,"13","26",2025-08-05,0.40
"8",공원로3,경기도 성남시 수정구 신흥동 1748 / 성남초교사거리,"61","63",2025-08-05,0.40
"9",공원로352번길1,경기도 성남시 수정구 신흥2동 2463 / 희망대공원앞,"34","34",2025-08-05,0.40
"10",공원로370번길1,경기도 성남시 수정구 신흥2동 2024 / 희망대삼거리(카센터앞),"6","17",2025-08-05,0.40
"11",공원로4,경기도 성남시 수정구 태평동 1 / 공영주차장앞,"40","40",2025-08-05,0.40
"12",공원로5,경기도 성남시 수정구 신흥동 116 / 신흥성당입구,"44","44",2025-08-05,0.40
"13",공원로6,경기도 성남시 수정구 태평동 1992-1 / 성남여중맞은편,"16","16",2025-08-05,0.40
"14",공원로7,경기도 성남시 수정구 복정동 산76 / 자광원앞,"26","26",2025-08-05,0.40
"15",공원로8,경기도 성남시 수정구 복정동 산76 / 자광원앞,"24","24",2025-08-05,0.40
"16",금토로1,경기도 성남시 수정구 금토동 406-1 /,"13","22",2025-08-05,0.40
"17",금토로2,경기도 성남시 수정구 금토동 410-61 /,"11","14",2025-08-05,0.40
"18",금토로3,경기도 성남시 수정구 시흥동 293-48 /,"11","14",2025-08-05,0.40
"19",금토로4,경기도 성남시 수정구 시흥동 산51-2 /,"18","29",2025-08-05,0.40
"20",금토로1,경기도 성남시 수정구 금토동 406-1 /,"13","22",2025-08-05,0.40
"21",금토로2,경기도 성남시 수정구 금토동 410-415 /,"11","14",2025-08-05,0.40
"22",금토로3,경기도 성남시 수정구 금토동 410-414 /,"11","14",2025-08-05,0.40
"23",금토로4,경기도 성남시 수정구 금토동 405-11 /,"18","29",2025-08-05,0.40
"24",금토로80번길1,경기도 성남시 수정구 금토동 315-10 /,"31","43",2025-08-05,0.40
"25",금토로80번길2,경기도 성남시 수정구 금토동 315-1 /,"32","45",2025-08-05,0.40
"26",금토로80번길3,경기도 성남시 수정구 금토동 427-21 /,"22","27",2025-08-05,0.40
"27",남한산성로1,경기도 성남시 수정구 단대동 산101 / 웃논골 버스정류장,"53","28",2025-08-05,0.40
"28",남한산성로2,경기도 성남시 중원구 은행2동 14-2 / 구매표소앞계단,"63","65",2025-08-05,0.40
"29",논골로1,경기도 성남시 수정구 양지동 743 / 헤어 화,"33","33",2025-08-05,0.40
"30",논골로2,경기도 성남시 수정구 단대동 6985-14 / 5M보안등(논골),"6","6",2025-08-05,0.40
"31",단대로1,경기도 성남시 수정구 산성동 510-3 / 단대공원산성공영주차장앞,"9","11",2025-08-05,0.40
"32",달래내로1,경기도 성남시 수정구 금토동 270-5 / 남산마을금토제4경로회관앞,"26","26",2025-08-05,0.40
"33",달래내로2,경기도 성남시 수정구 시흥동 293-45 /,"12","22",2025-08-05,0.40
"34",달래내로3,경기도 성남시 수정구 상적동 216-13 / 고속도로굴다리터널등(옛골굴다리),"20","20",2025-08-05,0.40
"35",달래내로4,경기도 성남시 수정구 상적동 240-1(한전240-4) / 달래내고개,"27","31",2025-08-05,0.40
"36",달래내로5,경기도 성남시 수정구 금토동 410-46 /,"14","23",2025-08-05,0.40
"37",달래내로6,경기도 성남시 수정구 금토동 293 / 금토제4경로회관(남산마을맞은편),"23","23",2025-08-05,0.40
"38",대왕판교로1,경기도 성남시 수정구 시흥동 281-20 / 금토삼거리 버스정류장,"18","22",2025-08-05,0.40
"39",대왕판교로10,경기도 성남시 수정구 신촌동 124-3 / 신촌동버스정류장(상),"19","19",2025-08-05,0.40
"40",대왕판교로11,경기도 성남시 수정구 신촌동 119-2 / 신촌동 쉼터앞,"19","19",2025-08-05,0.40
"41",대왕판교로12,경기도 성남시 수정구 오야동 226-3 / 신촌동사무소입구(오야동),"28","28",2025-08-05,0.40
"42",대왕판교로13,경기도 성남시 수정구 심곡동 220-12 / 서울공항정문맞은편(추어탕),"27","27",2025-08-05,0.40
"43",대왕판교로14,경기도 성남시 수정구 심곡동 (한전473-2) / 심곡저수지앞,"33","33",2025-08-05,0.40
"44",대왕판교로15,경기도 성남시 수정구 고등동 272-1 / 등자리입구(하)버스정류장쉘타뒤,"33","33",2025-08-05,0.40
"45",대왕판교로16,경기도 성남시 수정구 고등동 583 / 고등동사거리(하)버스정류장,"16","16",2025-08-05,0.40
"46",대왕판교로17,경기도 성남시 수정구 고등동 608-3 / 고등동분당방향 시흥사거리전,"19","20",2025-08-05,0.40
"47",대왕판교로18,경기도 성남시 수정구 시흥동 223 / 푸주옥앞,"21","21",2025-08-05,0.40
"48",대왕판교로19,경기도 성남시 수정구 시흥동 298 / 서울기록관 하행버스정류장,"21","27",2025-08-05,0.40
"49",대왕판교로2,경기도 성남시 수정구 시흥동 247-3 / 서울기록관 상행 버스정류장,"23","23",2025-08-05,0.40
"50",대왕판교로20,경기도 성남시 수정구 금토동 273-51 / 금토삼거리,"25","26",2025-08-05,0.40
"51",대왕판교로3,경기도 성남시 수정구 시흥동 220-4 / 시흥동 체육공원앞,"20","21",2025-08-05,0.40
"52",대왕판교로4,경기도 성남시 수정구 고등동 166-8 / 고등동주민센터 버스정류장,"19","20",2025-08-05,0.40
"53",대왕판교로5,경기도 성남시 수정구 고등동 411-2 / 고등동사거리(상)버스정류장,"17","17",2025-08-05,0.40
"54",대왕판교로6,경기도 성남시 수정구 고등동 1-15 / 등자리입구(상)버스정류장,"35","35",2025-08-05,0.40
"55",대왕판교로7,경기도 성남시 수정구 심곡동 202-16 / 심곡저수지맞은편,"35","35",2025-08-05,0.40
"56",대왕판교로8,경기도 성남시 수정구 심곡동 253-3 / 서울공항정문(상),"28","30",2025-08-05,0.40
"57",대왕판교로816번길1,경기도 성남시 수정구 시흥동 278-5 / 배수지입구,"23","33",2025-08-05,0.40
"58",대왕판교로851번길1,경기도 성남시 수정구 시흥동 234-10 / 세종연구소입구(서울기록관),"22","35",2025-08-05,0.40
"59",대왕판교로879번길1,경기도 성남시 수정구 시흥동 225-25 / 베스트하우스경비실앞,"10","10",2025-08-05,0.40
"60",대왕판교로9,경기도 성남시 수정구 오야동 227-1 / 오야동버스정류장(상),"28","28",2025-08-05,0.40
"61",대왕판교로915번길1,경기도 성남시 수정구 시흥동 211-37 / 동산마을,"21","21",2025-08-05,0.40
"62",대왕판교로982번길1,경기도 성남시 수정구 고등동 391-13 / 고등취락지구982번길,"10","7",2025-08-05,0.40
"63",동판교로1,경기도 성남시 수정구 사송동 331 / 사송교차로(모란방향),"30","30",2025-08-05,0.40
"64",동판교로2,경기도 성남시 수정구 사송동 484-7 / 사송교차로(판교방향),"35","62",2025-08-05,0.40
"65",복정로1,경기도 성남시 수정구 복정동 690-7 / 복정로 제일부동산앞,"23","23",2025-08-05,0.40
